house_type,insulation,schedule,Loc_code,Hydro_resource,SH_DW_code,Occ_code,kgCO2_SH_life,kgCO2_WH_life,P_annual_kWh_life,kgCO2_op_life,Embodied_SH,Embodied_WH,Embodied,kgCO2_total_life
Mod,H1,Ideal,CH,Hhigh,HYD500-HYD500,4,NA,NA,97491.470494,6699.4346285,NA,NA,3734.535561,10433.9701895
Mod,H1,Ideal,CH,Hhigh,HYD500-HYD500,5,NA,NA,101037.88125199999,6902.2265405,NA,NA,3734.535561,10636.7621015
Mod,H1,Ideal,CH,Hlow,HYD1000-HYD1000,3,NA,NA,96761.634904,9686.2856686,NA,NA,4359.762834,14046.048502599999
Mod,H1,Ideal,CH,Hlow,HYD1000-HYD1000,4,NA,NA,100210.13503599999,9896.0385821,NA,NA,4359.762834,14255.8014161
Mod,H1,Ideal,CH,Hlow,HYD1000-HYD1000,5,NA,NA,103765.35004,10132.8108288,NA,NA,4359.762834,14492.573662800001
Mod,H1,Ideal,CH,Hlow,HYD200-HYD200,3,NA,NA,87919.231224,9092.488730699999,NA,NA,3698.655882,12791.144612699998
Mod,H1,Ideal,CH,Hlow,HYD200-HYD200,4,NA,NA,90887.81262000001,9274.5812223,NA,NA,3698.655882,12973.237104299998
Mod,H1,Ideal,CH,Hlow,HYD200-HYD200,5,NA,NA,93948.54042199999,9472.7284837,NA,NA,3698.655882,13171.3843657
Mod,H1,Ideal,CH,Hlow,HYD500-HYD500,3,NA,NA,94047.54761600001,9456.6170845,NA,NA,3734.535561,13191.1526455
Mod,H1,Ideal,CH,Hlow,HYD500-HYD500,4,NA,NA,97491.470494,9658.2011644,NA,NA,3734.535561,13392.7367254
Mod,H1,Ideal,CH,Hlow,HYD500-HYD500,5,NA,NA,101037.88125199999,9886.6545646,NA,NA,3734.535561,13621.1901256
Mod,H1,Real,AK,Hhigh,HYD1000-HYD1000,3,NA,NA,33379.52629,2149.45359855,NA,NA,4221.950334,6371.40393255
Mod,H1,Real,AK,Hhigh,HYD1000-HYD1000,4,NA,NA,36408.27806,2304.6992916,NA,NA,4221.950334,6526.6496256
Mod,H1,Real,AK,Hhigh,HYD1000-HYD1000,5,NA,NA,39495.260001999995,2485.4946927,NA,NA,4221.950334,6707.4450267
Mod,H1,Real,AK,Hhigh,HYD200-HYD200,3,NA,NA,32088.603954,2064.4598954,NA,NA,3101.313971,5165.7738664
Mod,H1,Real,AK,Hhigh,HYD200-HYD200,4,NA,NA,35216.877872000005,2216.67812545,NA,NA,3101.313971,5317.99209645
