house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_embod_life,kgCO2_total_life
Mass,Nom,Real,CH,Hlow,HYD500,HYD500,5,NA,14,500,6187.2024887,70178.220566,4383.7453671,10570.947855800001
Mod,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,3,NA,5,1000,1791.33035979,34380.222821,4644.1453674,6435.475727190001
Mod,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,4,NA,5,1000,1917.73475897,37416.914628,4644.1453674,6561.880126370001
Mod,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2082.29437651,40469.216178,4644.1453674,6726.43974391
Mod,H1,Ideal,AK,Hhigh,HYD200,HYD200,3,NA,8.5,200,2051.22212105,32819.85763,3411.4453681,5462.667489150001
Mod,H1,Ideal,AK,Hhigh,HYD200,HYD200,4,NA,8.5,200,2206.43409435,35953.20567,3411.4453681,5617.879462450001
Mod,H1,Ideal,AK,Hhigh,HYD200,HYD200,5,NA,8.5,200,2396.67849915,39222.633531,3411.4453681,5808.12386725
Mod,H1,Ideal,AK,Hhigh,HYD500,HYD500,3,NA,6,500,1885.1591385699999,32622.01823,3956.3953671,5841.554505669999
Mod,H1,Ideal,AK,Hhigh,HYD500,HYD500,4,NA,6,500,2022.83690541,35548.645817,3956.3953671,5979.23227251
Mod,H1,Ideal,AK,Hhigh,HYD500,HYD500,5,NA,6,500,2197.7230996,38630.279478,3956.3953671,6154.1184667
Mod,H1,Ideal,AK,Hlow,HYD1000,HYD1000,3,NA,5,1000,2819.0685005,34382.951220999996,4644.1453674,7463.2138679
Mod,H1,Ideal,AK,Hlow,HYD1000,HYD1000,4,NA,5,1000,2969.8899125,37421.178412,4644.1453674,7614.0352799
Mod,H1,Ideal,AK,Hlow,HYD1000,HYD1000,5,NA,5,1000,3165.5046378,40473.347173,4644.1453674,7809.650005200001
Mod,H1,Ideal,AK,Hlow,HYD200,HYD200,3,NA,8.5,200,3115.9713166,32820.78365,3411.4453681,6527.4166847
Mod,H1,Ideal,AK,Hlow,HYD200,HYD200,4,NA,8.5,200,3295.2199793,35952.901037,3411.4453681,6706.6653473999995
Mod,H1,Ideal,AK,Hlow,HYD200,HYD200,5,NA,8.5,200,3511.9812604,39222.638807,3411.4453681,6923.426628499999
Mod,H1,Ideal,AK,Hlow,HYD500,HYD500,3,NA,6,500,2939.0130094,32623.803147000002,3956.3953671,6895.4083765
Mod,H1,Ideal,AK,Hlow,HYD500,HYD500,4,NA,6,500,3102.3569107000003,35550.908409999996,3956.3953671,7058.7522778
Mod,H1,Ideal,AK,Hlow,HYD500,HYD500,5,NA,6,500,3303.8363489999997,38631.520229,3956.3953671,7260.231716099999
Mod,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,3,NA,8.5,1000,6222.9184404,96429.19907,4795.7391174,11018.657557800001
Mod,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,4,NA,8.5,1000,6385.8653017,99820.847276,4795.7391174,11181.6044191
