house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_manuf_life,kgCO2_dist_life,kgCO2_inst_life,kgCO2_eol_life,kgCO2_other_life,kgCO2_EOL_S_life,kgCO2_Other_S_life,MJ_manuf_life,MJ_dist_life,MJ_inst_life,MJ_eol_life,MJ_other_life,kgCO2_total_life,kgCO2_total_life_R,MJ_total_life
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,3,NA,5,500,1422.268906652007,17526.5985520008,3205.782234,113.0762903,110.2336872,555.978064,1914.8617479999998,447.80324880000006,1564.740503,99107.87975,2421.694991,188.764714,15159.92053,57321.96113000001,7322.200930152007,6863.904869952007,237245.53964737698
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,4,NA,5,500,1578.0909771408146,20442.409335086402,3205.782234,113.0762903,110.2336872,555.978064,1914.8617479999998,447.80324880000006,1564.740503,99107.87975,2421.694991,188.764714,15159.92053,57321.96113000001,7478.023000640815,7019.726940440814,247734.06764408777
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,5,NA,5,500,1771.626643012979,23395.034389350934,3205.782234,113.0762903,110.2336872,555.978064,1914.8617479999998,447.80324880000006,1564.740503,99107.87975,2421.694991,188.764714,15159.92053,57321.96113000001,7671.558666512978,7213.262606312978,258355.021076694
Mass,H1,Ideal,AK,Hlow,R,NA,NA,7,NA,NA,1325.6076271262962,11317.613790472351,762.7565478000001,34.39267655,4.221680447,40.8013688,0,40.8013688,0,19975.70971,728.390251,14.55723013,86.55247726999998,0,2167.779900723296,2167.779900723296,61516.05064132212
Mass,H1,Ideal,AK,Hlow,Rb,NA,NA,2,NA,NA,235.09107683011277,1814.3390296115833,239.0053865,10.46295479,1.367578355,12.423650609999997,0,12.423650609999997,0,6248.774369,221.5911942,4.575650373,27.59470672,0,498.35064708511277,498.35064708511277,13028.935307385027
Mass,H1,Ideal,AK,Hlow,Rl,NA,NA,5,NA,NA,1090.5165502961834,9503.274760860771,523.7511613,23.92972175,2.854102092,28.37771819,0,28.37771819,0,13726.93534,506.7990568,9.981579754,58.95777055,0,1669.4292536281832,1669.4292536281832,48487.1153329341
Mass,H1,Ideal,CH,Hhigh,HP,NA,NA,NA,8,NA,971.4773296800819,12271.199480267622,1248.729155,28.28269202,81.11150315,246.4902634,1275.71918,84.80252784,473.4802876,33081.0646,598.9890642,1446.560704,7130.219531,7510.587813,3851.8101232500817,2887.8834952900816,93908.42703690367
Mass,H1,Ideal,CH,Hhigh,HPl,NA,NA,NA,5,NA,606.0459344857956,7962.039772749726,826.9997436999998,17.52592378,49.36444432999999,152.484381,627.1897679,64.91429254,277.0685229,18698.53519,371.1752997,836.32541,2970.9842370000006,3600.88193,2279.6101951957953,1841.9188617357954,55118.33290392923
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,3,NA,5,1000,2307.4787927343536,33961.96797018283,3677.333192,124.0935889,112.32240350000001,717.9529673000001,2096.290777,609.77815210000006,1746.169532,114086.819,2681.016733,217.3684033,25655.336800000005,65734.59143,9035.471721434355,8577.175661234352,330540.4847770296
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,4,NA,5,1000,2471.1172155347044,37111.047744209965,3677.333192,124.0935889,112.32240350000001,717.9529673000001,2096.290777,609.77815210000006,1746.169532,114086.819,2681.016733,217.3684033,25655.336800000005,65734.59143,9199.110144234706,8740.814084034704,341868.1098634581
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2649.5073708808823,40262.973409347505,3677.333192,124.0935889,112.32240350000001,717.9529673000001,2096.290777,609.77815210000006,1746.169532,114086.819,2681.016733,217.3684033,25655.336800000005,65734.59143,9377.500299580883,8919.204239380882,353205.97196826944
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,3,NA,11.2,200,1975.9159364781233,28570.852770529444,3294.880518,120.05053259999998,118.0814058,553.0027961,2249.519027,382.4415344,1746.3641830000001,95997.37103,2542.507485,207.8546784,5019.973165,65887.81968,8311.450215978122,7637.734110278123,272428.377730952
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,4,NA,11.2,200,2114.778979227746,31386.12611125514,3294.880518,120.05053259999998,118.0814058,553.0027961,2249.519027,382.4415344,1746.3641830000001,95997.37103,2542.507485,207.8546784,5019.973165,65887.81968,8450.313258727745,7776.597153027746,282555.260251548
