hour_of_year,Base_2024,Environmental_2025,Environmental_2030,Environmental_2035,Environmental_2040,Environmental_2045,Reference_2025,Reference_2030,Reference_2035,Reference_2040,Reference_2045
200,0,19593.48515,112982.1277,714899.2312,976918.8352,1162714.524,19593.48515,61591.30221,127011.2592,513052.2768,690919.7451
201,0,20356.65706,194148.6593,973919.6125,1318890.225,1541801.846,20356.65706,130188.644,209613.8006,711057.7727,969420.2856
202,0,40482.05503,251950.7208,1228181.323,1647018.538,1937445.59,40482.05503,162732.0754,279277.4433,911842.6786,1181810.702
203,0,47723.87456,264198.1251,1290234.671,1719193.248,2030643.222,47723.87456,159383.5006,296077.999,955648.5541,1237861.184
204,0,50177.06869,377898.5943,1513600.238,1987412.611,2327105.452,50177.06869,246350.0258,412560.9564,1146528.864,1468450.803
205,0,54665.4892,466286.3628,1776401.557,2335512.496,2714121.444,54665.4892,327253.821,503970.981,1361078.353,1724747.779
206,0,55878.92912,552681.0198,1781901.912,2302801.523,2696336.488,55878.92912,370372.586,592871.9517,1389214.294,1745197.1
207,0,55245.25222,545531.7466,1801057.634,2333472.621,2747612.172,55245.25222,352847.247,586024.0574,1393031.268,1769782.633
208,0,61181.78963,411251.1179,1550175.785,2023783.682,2375888.801,61181.78963,266976.0985,452040.1994,1183150.239,1505312.475
209,0,68166.61616,342541.4661,1220488.162,1577696.435,1853742.083,68166.61616,222565.0093,384902.8518,938261.3819,1188696.847
210,0,44218.84963,545051.6225,1118794.013,1366962.18,1587180.942,44218.84963,384316.7668,576434.2659,941843.5549,1139491.192
211,0,39978.64322,417785.3883,889591.3739,1104679.534,1264923.474,39978.64322,315705.7607,443881.0469,749272.0692,905862.7207
212,0,42092.73563,511811.441,819232.0727,987829.4908,1142361.965,42092.73563,385575.8186,539625.0503,730758.0922,871448.2093
