hour_of_year,Reference_2025,Environmental_2025,Reference_2030,Environmental_2030,Reference_2035,Environmental_2035,Reference_2040,Environmental_2040,Reference_2045,Environmental_2045
6716,99183.13951032348,99183.13951032348,579072.4427926517,824125.5705987524,307050.9839890515,310892.51804604754,172790.9166961339,125262.9410301745,162511.99937891745,182128.603115579
6717,99571.71266629625,99571.71266629625,650063.9764876652,947083.6278251051,362233.0281145661,481089.1549838582,280935.61661351635,185465.37698613107,224676.4647968512,244413.15762065156
6718,99572.16075578742,99572.16075578742,343968.4553503851,498577.2535475954,213545.54870009655,667528.265487355,415232.0690711012,273277.1093854609,198648.23402160362,225981.20403585452
6719,99291.2954685227,99291.2954685227,494753.0743160531,638329.8289006173,201155.79260245216,499408.1602829609,324340.7469661534,218792.6520653907,143146.72175811016,154351.85824490176
6720,99066.1834403761,99066.1834403761,809628.9464789369,1131595.029253366,388931.0362431078,807970.7398620934,517415.58332705405,334292.43921444076,293103.6187165984,314372.74973066925
6721,99428.30242795823,99428.30242795823,745256.2587921888,1053631.8669793343,374147.1434000332,540958.5505141031,329825.6503078553,214858.52943676058,239408.01282706976,248680.0860028173
6722,99382.18886269952,99382.18886269952,736376.97024277,1022104.555101414,349566.9498152345,269430.94865760097,150334.4642570515,104418.31247524208,171542.15217221776,169876.71464411373
6723,99529.57387745296,99529.57387745296,794652.9028580437,1092632.5061889065,362856.8037769625,414664.4761395662,253542.60286859248,171249.7220557028,202457.83719427403,206574.35998136026
6724,99397.14687430643,99397.14687430643,838383.9413513875,1138581.7644984494,365232.26660687715,471593.80677657865,298380.35113221715,201752.12398884195,208405.60677028366,217792.37218247377
6725,98778.06304913867,98778.06304913867,914856.0353238599,1222688.8774007207,373209.48801815574,596279.4645743199,391423.58705363283,264469.4474945052,231985.90854361138,244754.3459785087
6726,99717.5467215809,99717.5467215809,845236.6098280067,1128195.3235790103,347827.02695711254,663858.3272156703,436296.2621850499,292060.50254977576,236107.54159990497,251058.3146509348
6727,99042.0694978623,99042.0694978623,812020.3468209194,1117067.1411071424,370314.1796373376,518401.1704484422,325343.91613117064,215676.89431944356,223542.35381114532,234111.85194041388
6728,99417.34381804694,99417.34381804694,753662.3003589628,1001249.6483022306,309547.5986585316,285187.7512953901,177489.646636305,127140.66645168437,143379.21621569621,146676.42137861764
6729,96556.53475054068,96556.53475054068,865416.8284672399,1147941.1307063776,344678.5295597861,282794.50910765934,179915.01344585864,130885.60891199953,156040.34008752674,158491.01585334257
6730,99550.27359675514,99550.27359675514,896045.9971113515,1167660.6129282657,334707.7176937254,294281.2508568909,193993.29283917812,144759.625275777,150188.08304738105,151223.49181261135
6731,99507.18814200598,99507.18814200598,918162.706318281,1191476.436101214,336417.7918996051,285546.96407966246,187611.9806063567,145313.4567802579,158580.36517647287,147934.69267065436
6732,99682.57367853579,99682.57367853579,866678.1050996709,1123201.4327880344,318804.9405405708,242027.46827438113,155808.50689814857,125439.89879273114,146521.4323268605,131735.33766198214
6733,95600.50587292221,95600.50587292221,682776.2520208737,902156.3057050481,277814.1257226525,187097.30793080965,103396.60780678134,92922.7256160623,144972.05759967148,115028.51197950602
6734,86351.22828343978,86351.22828343978,824414.6679075274,1057802.428813783,288017.28876702965,281431.32480343437,184569.63772016918,154873.2699011775,163930.52629220008,136338.91785192039
6735,86851.1466972053,86851.1466972053,743689.3209692554,939137.5790053074,248559.4210357331,297901.5066559428,198774.5503587082,163043.92925949732,145448.24142684974,123238.4191998569
6736,95850.15302614901,95850.15302614901,821144.6085926963,1049921.8848332437,288120.5755106092,354214.7018217085,228560.84547106826,196142.830355587,189400.18246965794,158895.54446301688
6737,71057.02647126857,71057.02647126857,922866.996049269,1209053.0248470318,335899.3384088659,340592.0668531755,219628.05097891114,197071.69772457442,226545.78002026374,192697.48080245845
6738,30422.064017733006,30422.064017733006,808776.6436672272,1116489.3584061903,338869.5320346649,507066.438683133,332308.9306478244,258601.0709338017,259502.36319256073,274115.4430173164
6739,27003.40204102531,27003.40204102531,749782.3778098279,1052567.4900801342,331811.45461742254,420253.02424611204,269049.19049422344,214394.20502493109,239892.25232671195,256979.75730750652
6740,56116.88297091548,56116.88297091548,443393.56163367344,621543.0993473805,215659.57536008494,380679.61535714986,228514.70744610054,229887.3624914812,193740.3422846569,231905.63289355367
6741,88190.97104478629,88190.97104478629,574558.6469512719,816470.6850828544,299286.04237481626,667435.7932954,400581.441101599,324444.8485623848,314070.74594045867,298733.8370261457
6742,71958.24034242536,71958.24034242536,731070.6921019969,1061683.0484382855,384581.0626839958,807712.6752042038,497380.0646740747,405888.64136811916,370698.9901666161,408431.0423191033
6743,93595.78587080837,93595.78587080837,681742.1259539122,1005519.8539414625,388098.24295667117,754174.9573507257,453983.60070371313,363176.0940642084,338387.6500805841,386030.37177228637
6744,88813.93996828959,88813.93996828959,708838.2487864255,1033074.1248475633,386001.1142196635,696406.532169896,425387.10216510086,350131.9557719867,302066.759016297,381927.76905486383
6745,58986.157172934625,58986.157172934625,680004.3096908435,1036588.5801894335,406446.99051118334,1151142.793924337,732804.7540485465,536293.5776871805,416939.6768515136,517724.49273533386
6746,64123.16106557493,64123.16106557493,691469.7189144795,1004796.1735421291,362652.93802816945,836180.5340541262,530137.5031192559,411588.908012218,329818.94211876596,405953.29652903276
6747,65073.15410394691,65073.15410394691,770653.3453843945,1071399.199299188,348694.47109577013,446024.4151735323,270337.8574912577,230806.6835532756,264828.84247442544,261020.8118998718
6748,43758.78325273798,43758.78325273798,765232.4404477939,1069401.6049855382,341911.05932645727,530790.4156459866,330447.81627688283,250545.22075175724,299772.813809749,263198.17254077824
6749,39042.21445636101,39042.21445636101,727853.5920099998,1000862.1537236643,306938.34842107707,555377.7185229337,345697.8634429792,279520.78688517073,322584.54546202166,259400.38654859626
6750,46356.962641160106,46356.962641160106,555227.5516850683,763728.8123464686,242515.305932903,372855.62165693275,225410.58680900253,181411.9517061058,225620.5634901657,178765.2565254939
6751,41346.632758214284,41346.632758214284,384182.1148764182,522197.239651724,165664.28351577744,191877.2660853147,103777.61013270298,99714.36290153058,161070.41576775894,101487.7032596561
6752,24545.5249504169,24545.5249504169,299027.46743577416,417611.12954451103,137298.1459739184,301409.4520766839,188240.99477059572,140535.67652262788,145936.7600521549,126090.72571997243
6753,10013.30653946972,10013.30653946972,275873.7932044937,369479.3187770408,104553.86970185976,549570.262275242,366402.58749948436,252213.73113702334,190692.15391868405,166471.6457559139
6754,11734.673736184686,11734.673736184686,132192.4280726047,187377.92502259952,64173.54759428821,180863.67932839642,112220.19243002139,80483.45121451396,85053.16161313652,66105.19520807122
6755,1794.7622732240038,1794.7622732240038,192367.15113784862,260319.52283249045,72408.68981265034,129822.19167026138,82440.70819864329,66428.30838793523,86484.36784174627,57850.32281819588
6756,916.8220788147868,916.8220788147868,129556.904093377,158608.7389816921,31187.969891573444,131713.84375594484,84633.09933716692,74359.11627998414,83572.21648586278,38464.34915782213
6757,1538.0342939836667,1538.0342939836667,110098.48104715621,129524.5701068713,21486.596003650033,158785.33566035697,101810.89601215204,87511.67601826963,91461.2461426364,40277.551679215976
6758,5997.533933069218,5997.533933069218,145938.68624332937,167391.89860628347,25879.7187245869,189456.15047897212,117906.4677946328,108949.64822826567,124699.83080145638,44659.39745820826
6759,12896.78341956271,12896.78341956271,101324.73501093886,115999.52870238508,22195.3893177894,168198.0457976786,103144.29327045739,91706.53365244163,96426.72006830912,40137.81200973144
6760,24168.153903581064,24168.153903581064,85374.22646765881,102433.7601535716,30425.94836439956,197644.42051566945,120775.69218612058,94979.71211213103,87357.91915294743,47773.79777255717
6761,13374.140588769309,13374.140588769309,63527.7410495628,86898.16090462028,31834.662984188664,243471.74310999896,157026.62548844318,107866.8860837118,79112.0460867822,66538.6076337762
6762,8026.384238130088,8026.384238130088,72095.22346841874,99922.95445477328,33916.31357544309,271211.8646144903,172103.58771294088,123634.1028176587,108568.83946164532,75485.70788555626
6763,7608.847688164239,7608.847688164239,63056.890001460255,81032.5125790752,23192.572142731104,208829.38857244977,133356.42228603136,97849.5590943107,83835.82989853903,54950.459511693174
6764,19326.614387478538,19326.614387478538,63479.06040432946,101056.13284145763,50315.0012190598,450178.9370921978,287551.7744413453,192636.3528848831,145427.41133982726,123734.08378945715
