house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,CS_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_embod_life,kgCO2_total_life
Mass,H1,Ideal,CH,Hlow,R,NA,NA,C0,8.5,NA,NA,4797.0508787,42210.315576,1107.7647064,5904.8155851
Mass,H1,Ideal,CH,Hlow,Rb,NA,NA,C0,3.5,NA,NA,1846.13923602,14706.6724156,553.8823529800001,2400.021589
Mass,H1,Ideal,CH,Hlow,Rl,NA,NA,C0,5,NA,NA,2950.9116427,27503.643156000002,553.8823529800001,3504.79399568
Mass,H1,Real,AK,Hhigh,HP,NA,NA,C0,NA,6.5,NA,249.0449093,2932.8348896,898.86176468,1147.90667398
Mass,H1,Real,AK,Hhigh,HPl,NA,NA,C0,NA,5,NA,219.839230075,2645.3765448,776.47058819,996.3098182649999
Mass,H1,Real,AK,Hhigh,HYD1000,HYD1000,3,C0,NA,5,1000,1261.2658664189862,20792.86381214849,3947.1205884,5208.386454818987
Mass,H1,Real,AK,Hhigh,HYD1000,HYD1000,3,Cpeak,NA,5,1000,1258.8776878648382,20788.87325253546,3947.1205884,5205.998276264838
Mass,H1,Real,AK,Hhigh,HYD1000,HYD1000,3,Crenew,NA,5,1000,889.532217642459,21136.417451760077,3947.1205884,4836.652806042459
Mass,H1,Real,AK,Hhigh,HYD1000,HYD1000,4,C0,NA,5,1000,1416.1479603440955,23827.199375248274,3947.1205884,5363.268548744096
Mass,H1,Real,AK,Hhigh,HYD1000,HYD1000,4,Cpeak,NA,5,1000,1413.0682311587402,23821.718864835206,3947.1205884,5360.18881955874
Mass,H1,Real,AK,Hhigh,HYD1000,HYD1000,4,Crenew,NA,5,1000,1007.2268009345944,24160.951905151836,3947.1205884,4954.3473893345945
Mass,H1,Real,AK,Hhigh,HYD1000,HYD1000,5,C0,NA,5,1000,1594.9432239390987,26903.284504458334,3947.1205884,5542.063812339099
Mass,H1,Real,AK,Hhigh,HYD1000,HYD1000,5,Cpeak,NA,5,1000,1592.3474021335644,26898.35647135737,3947.1205884,5539.467990533564
Mass,H1,Real,AK,Hhigh,HYD1000,HYD1000,5,Crenew,NA,5,1000,1158.967833468711,27198.4869146053,3947.1205884,5106.0884218687115
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,3,C0,NA,8.5,200,1115.9199599304764,18366.940509151074,2747.1205883,3863.040548230476
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,3,Cpeak,NA,8.5,200,1113.8869288842131,18361.297144344535,2747.1205883,3861.0075171842127
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,3,Crenew,NA,8.5,200,1050.1911672028066,18395.201699813362,2747.1205883,3797.3117555028066
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,4,C0,NA,8.5,200,1268.055506435284,21489.448531149574,2747.1205883,4015.176094735284
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,4,Cpeak,NA,8.5,200,1265.7455078377077,21484.196376506505,2747.1205883,4012.8660961377072
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,4,Crenew,NA,8.5,200,1207.9469870151722,21532.112181177054,2747.1205883,3955.067575315172
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,5,C0,NA,8.5,200,1450.7797987979916,24745.84176259682,2747.1205883,4197.900387097991
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,5,Cpeak,NA,8.5,200,1447.5858330003684,24729.554330764648,2747.1205883,4194.706421300369
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,5,Crenew,NA,8.5,200,1399.8187461515672,24805.680310949905,2747.1205883,4146.9393344515665
Mass,H1,Real,AK,Hhigh,HYD500,HYD500,3,C0,NA,5,500,1142.2693169628733,18762.045157332595,3197.1205882,4339.389905162873
Mass,H1,Real,AK,Hhigh,HYD500,HYD500,3,Cpeak,NA,5,500,1139.9843680143972,18757.256619522006,3197.1205882,4337.104956214397
Mass,H1,Real,AK,Hhigh,HYD500,HYD500,3,Crenew,NA,5,500,906.9918642550243,18979.210496983997,3197.1205882,4104.112452455024
Mass,H1,Real,AK,Hhigh,HYD500,HYD500,4,C0,NA,5,500,1293.3860946938623,21813.90585749613,3197.1205882,4490.5066828938625
Mass,H1,Real,AK,Hhigh,HYD500,HYD500,4,Cpeak,NA,5,500,1290.545954715878,21808.84455730091,3197.1205882,4487.666542915878
Mass,H1,Real,AK,Hhigh,HYD500,HYD500,4,Crenew,NA,5,500,1041.6393118842932,22030.015913870517,3197.1205882,4238.759900084293
Mass,H1,Real,AK,Hhigh,HYD500,HYD500,5,C0,NA,5,500,1467.7875678073033,24906.054645611996,3197.1205882,4664.908156007303
Mass,H1,Real,AK,Hhigh,HYD500,HYD500,5,Cpeak,NA,5,500,1465.5984478099194,24901.089951800845,3197.1205882,4662.719036009919
Mass,H1,Real,AK,Hhigh,HYD500,HYD500,5,Crenew,NA,5,500,1212.1006896935528,25102.841180579897,3197.1205882,4409.221277893553
Mass,H1,Real,AK,Hhigh,R,NA,NA,C0,7,NA,NA,988.61998898,11666.113681199999,1107.7647064,2096.3846953800003
Mass,H1,Real,AK,Hhigh,Rb,NA,NA,C0,2,NA,NA,165.12877230499998,1727.29883656,553.8823529800001,719.011125285
Mass,H1,Real,AK,Hhigh,Rl,NA,NA,C0,5,NA,NA,823.49121669,9938.8148442,553.8823529800001,1377.37356967
Mass,H1,Real,AK,Hlow,HP,NA,NA,C0,NA,6.5,NA,347.29371964,2932.8348896,898.86176468,1246.15548432
Mass,H1,Real,AK,Hlow,HPl,NA,NA,C0,NA,5,NA,307.2472928,2645.3765448,776.47058819,1083.71788099
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,3,C0,NA,5,1000,1647.7593030124683,20792.86381214849,3947.1205884,5594.879891412468
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,3,Cpeak,NA,5,1000,1646.0660972363921,20788.87325253546,3947.1205884,5593.186685636392
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,3,Crenew,NA,5,1000,1268.9771920240341,21138.907076058276,3947.1205884,5216.097780424034
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,4,C0,NA,5,1000,1820.0209772676928,23827.199375248274,3947.1205884,5767.141565667693
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,4,Cpeak,NA,5,1000,1817.5052109983149,23821.718864835206,3947.1205884,5764.6257993983145
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,4,Crenew,NA,5,1000,1404.1755775181168,24164.467695700645,3947.1205884,5351.2961659181165
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,5,C0,NA,5,1000,2020.410485426735,26903.284504458334,3947.1205884,5967.531073826735
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,5,Cpeak,NA,5,1000,2018.1960155794764,26898.35647135737,3947.1205884,5965.316603979476
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,5,Crenew,NA,5,1000,1588.2863983586278,27203.440387524668,3947.1205884,5535.406986758628
Mass,H1,Real,AK,Hlow,HYD200,HYD200,3,C0,NA,8.5,200,1487.1433601353883,18366.940509151074,2747.1205883,4234.263948435388
Mass,H1,Real,AK,Hlow,HYD200,HYD200,3,Cpeak,NA,8.5,200,1485.1501700375288,18361.297144344535,2747.1205883,4232.270758337529
Mass,H1,Real,AK,Hlow,HYD200,HYD200,3,Crenew,NA,8.5,200,1425.7424829029962,18395.911284490983,2747.1205883,4172.863071202996
Mass,H1,Real,AK,Hlow,HYD200,HYD200,4,C0,NA,8.5,200,1661.368070332846,21489.448531149574,2747.1205883,4408.488658632846
